id_sector,SECTOR,SECTOR_NOMBRE,FUNCION,FUNCION_NOMBRE,DIVISION_FUNCIONAL,DIVISION_FUNCIONAL_NOMBRE
149,99,GOBIERNOS REGIONALES,10,AGROPECUARIA,11,TRANSFERENCIAS E INTERMEDIACION FINANCIERA
150,99,GOBIERNOS REGIONALES,20,SALUD,11,TRANSFERENCIAS E INTERMEDIACION FINANCIERA
151,99,GOBIERNOS REGIONALES,10,AGROPECUARIA,6,GESTION
152,99,GOBIERNOS REGIONALES,22,EDUCACION,48,EDUCACION SUPERIOR
153,99,GOBIERNOS REGIONALES,20,SALUD,4,PLANEAMIENTO GUBERNAMENTAL
154,99,GOBIERNOS REGIONALES,20,SALUD,6,GESTION
155,99,GOBIERNOS REGIONALES,15,TRANSPORTE,6,GESTION
156,99,GOBIERNOS REGIONALES,20,SALUD,43,SALUD COLECTIVA
157,99,GOBIERNOS REGIONALES,15,TRANSPORTE,4,PLANEAMIENTO GUBERNAMENTAL
158,99,GOBIERNOS REGIONALES,22,EDUCACION,4,PLANEAMIENTO GUBERNAMENTAL
159,99,GOBIERNOS REGIONALES,22,EDUCACION,47,EDUCACION BASICA
160,99,GOBIERNOS REGIONALES,18,SANEAMIENTO,40,SANEAMIENTO
161,99,GOBIERNOS REGIONALES,9,TURISMO,22,TURISMO
162,99,GOBIERNOS REGIONALES,15,TRANSPORTE,33,TRANSPORTE TERRESTRE
163,99,GOBIERNOS REGIONALES,15,TRANSPORTE,36,TRANSPORTE URBANO
164,99,GOBIERNOS REGIONALES,17,AMBIENTE,55,GESTION INTEGRAL DE LA CALIDAD AMBIENTAL
165,99,GOBIERNOS REGIONALES,21,CULTURA Y DEPORTE,46,DEPORTES
166,99,GOBIERNOS REGIONALES,5,ORDEN PUBLICO Y SEGURIDAD,16,GESTION DE RIESGOS Y EMERGENCIAS
167,99,GOBIERNOS REGIONALES,17,AMBIENTE,54,"DESARROLLO ESTRATEGICO, CONSERVACION Y APROVECHAMIENTO SOSTENIBLE DEL PATRIMONIO NATURAL"
168,99,GOBIERNOS REGIONALES,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",5,INFORMACION PUBLICA
169,99,GOBIERNOS REGIONALES,5,ORDEN PUBLICO Y SEGURIDAD,14,ORDEN INTERNO
170,99,GOBIERNOS REGIONALES,10,AGROPECUARIA,9,CIENCIA Y TECNOLOGIA
171,99,GOBIERNOS REGIONALES,10,AGROPECUARIA,16,GESTION DE RIESGOS Y EMERGENCIAS
172,99,GOBIERNOS REGIONALES,10,AGROPECUARIA,24,PECUARIO
173,99,GOBIERNOS REGIONALES,12,ENERGIA,28,ENERGIA ELECTRICA
174,99,GOBIERNOS REGIONALES,22,EDUCACION,16,GESTION DE RIESGOS Y EMERGENCIAS
175,99,GOBIERNOS REGIONALES,20,SALUD,51,ASISTENCIA SOCIAL
176,99,GOBIERNOS REGIONALES,10,AGROPECUARIA,4,PLANEAMIENTO GUBERNAMENTAL
177,99,GOBIERNOS REGIONALES,11,PESCA,6,GESTION
178,06,JUSTICIA,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",6,GESTION
179,07,INTERIOR,5,ORDEN PUBLICO Y SEGURIDAD,51,ASISTENCIA SOCIAL
180,07,INTERIOR,5,ORDEN PUBLICO Y SEGURIDAD,4,PLANEAMIENTO GUBERNAMENTAL
181,07,INTERIOR,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",6,GESTION
182,10,EDUCACION,7,TRABAJO,6,GESTION
183,11,SALUD,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",6,GESTION
184,11,SALUD,20,SALUD,11,TRANSFERENCIAS E INTERMEDIACION FINANCIERA
185,13,AGRARIO Y DE RIEGO,10,AGROPECUARIA,6,GESTION
186,13,AGRARIO Y DE RIEGO,10,AGROPECUARIA,9,CIENCIA Y TECNOLOGIA
187,13,AGRARIO Y DE RIEGO,10,AGROPECUARIA,23,AGRARIO
188,13,AGRARIO Y DE RIEGO,10,AGROPECUARIA,25,RIEGO
189,13,AGRARIO Y DE RIEGO,10,AGROPECUARIA,54,"DESARROLLO ESTRATEGICO, CONSERVACION Y APROVECHAMIENTO SOSTENIBLE DEL PATRIMONIO NATURAL"
190,13,AGRARIO Y DE RIEGO,10,AGROPECUARIA,4,PLANEAMIENTO GUBERNAMENTAL
191,24,TRIBUNAL CONSTITUCIONAL,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",6,GESTION
192,36,TRANSPORTES Y COMUNICACIONES,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",4,PLANEAMIENTO GUBERNAMENTAL
193,38,PRODUCCION,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",9,CIENCIA Y TECNOLOGIA
194, , ,14,INDUSTRIA,31,INDUSTRIA
195, , ,8,COMERCIO,21,COMERCIO
196, , ,20,SALUD,16,GESTION DE RIESGOS Y EMERGENCIAS
197, , ,11,PESCA,4,PLANEAMIENTO GUBERNAMENTAL
198, , ,20,SALUD,43,SALUD COLECTIVA
199, , ,7,TRABAJO,6,GESTION
200, , ,7,TRABAJO,16,GESTION DE RIESGOS Y EMERGENCIAS
201, , ,9,TURISMO,4,PLANEAMIENTO GUBERNAMENTAL
202, , ,12,ENERGIA,28,ENERGIA ELECTRICA
203,99,GOBIERNOS REGIONALES,15,TRANSPORTE,11,TRANSFERENCIAS E INTERMEDIACION FINANCIERA
204,99,GOBIERNOS REGIONALES,21,CULTURA Y DEPORTE,6,GESTION
205,99,GOBIERNOS REGIONALES,22,EDUCACION,49,EDUCACION TECNICA PRODUCTIVA
206,99,GOBIERNOS REGIONALES,20,SALUD,5,INFORMACION PUBLICA
207,99,GOBIERNOS REGIONALES,23,PROTECCION SOCIAL,6,GESTION
208,99,GOBIERNOS REGIONALES,7,TRABAJO,4,PLANEAMIENTO GUBERNAMENTAL
209,99,GOBIERNOS REGIONALES,11,PESCA,4,PLANEAMIENTO GUBERNAMENTAL
210,99,GOBIERNOS REGIONALES,4,DEFENSA Y SEGURIDAD NACIONAL,11,TRANSFERENCIAS E INTERMEDIACION FINANCIERA
211, , ,22,EDUCACION,16,GESTION DE RIESGOS Y EMERGENCIAS
212, , ,12,ENERGIA,4,PLANEAMIENTO GUBERNAMENTAL
213, , ,19,VIVIENDA Y DESARROLLO URBANO,16,GESTION DE RIESGOS Y EMERGENCIAS
214, , ,10,AGROPECUARIA,6,GESTION
215, , ,10,AGROPECUARIA,10,EFICIENCIA DE MERCADOS
216, , ,7,TRABAJO,51,ASISTENCIA SOCIAL
217, , ,23,PROTECCION SOCIAL,6,GESTION
218,99,GOBIERNOS REGIONALES,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",9,CIENCIA Y TECNOLOGIA
219, , ,17,AMBIENTE,16,GESTION DE RIESGOS Y EMERGENCIAS
220,27,FUERO MILITAR POLICIAL,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",6,GESTION
221, , ,15,TRANSPORTE,35,TRANSPORTE HIDROVIARIO
222, , ,5,ORDEN PUBLICO Y SEGURIDAD,15,CONTROL DE DROGAS
223, , ,15,TRANSPORTE,16,GESTION DE RIESGOS Y EMERGENCIAS
224, , ,15,TRANSPORTE,6,GESTION
225,99,GOBIERNOS REGIONALES,10,AGROPECUARIA,23,AGRARIO
226,37,VIVIENDA CONSTRUCCION Y SANEAMIENTO,15,TRANSPORTE,36,TRANSPORTE URBANO
227, , ,10,AGROPECUARIA,9,CIENCIA Y TECNOLOGIA
228, , ,10,AGROPECUARIA,54,"DESARROLLO ESTRATEGICO, CONSERVACION Y APROVECHAMIENTO SOSTENIBLE DEL PATRIMONIO NATURAL"
